11111,78,-31,44,481,1162,1.47,0.147,32.2
11112,78,-31,44,478,1327,1.47,0.147,52.7
11113,78,-31,44,477,1434,1.47,0.147,67.7
11114,78,-31,45,481,1730,1.47,0.147,103.6
11115,78,-31,45,490,2311,1.47,0.147,236.1
11121,78,-30,41,481,1145,1.47,0.294,23.3
11122,79,-30,40,477,1298,1.47,0.294,37.3
11123,79,-31,40,476,1370,1.47,0.294,47.6
11124,78,-31,40,478,1590,1.47,0.294,73.7
11125,78,-32,40,488,1923,1.47,0.294,168.4
11131,78,-29,43,484,1010,1.47,0.441,20.8
11132,78,-29,43,481,1122,1.47,0.441,34.3
11133,78,-29,42,480,1174,1.47,0.441,44
11134,78,-29,42,482,1349,1.47,0.441,67.4
11135,78,-29,42,490,1616,1.47,0.441,151.5
11141,79,-31,42,479,1024,1.47,0.588,17.8
11142,79,-31,42,475,1113,1.47,0.588,28.2
11143,78,-31,42,474,1148,1.47,0.588,36
11144,78,-31,42,476,1267,1.47,0.588,55.4
11145,77,-32,43,485,1388,1.47,0.588,125.8
11151,80,-31,43,396,877,1.47,0.882,16.1
11152,80,-30,43,396,947,1.47,0.882,25
11153,80,-30,43,393,999,1.47,0.882,31.3
11154,80,-30,43,399,1133,1.47,0.882,46.6
11155,80,-30,44,401,1372,1.47,0.882,103.7
11161,79,-31,43,325,818,1.47,1.47,11.3
11162,79,-31,43,324,864,1.47,1.47,17.9
11163,80,-31,43,325,883,1.47,1.47,22.7
11164,80,-31,43,332,928,1.47,1.47,34.6
11165,81,-31,42,337,990,1.47,1.47,78.5
21111,73,-10,46,401,889,3.905,0.3905,16.9
21112,73,-10,46,397,1033,3.905,0.3905,27.2
21113,73,-10,46,395,1098,3.905,0.3905,34.9
21114,74,-10,46,399,1304,3.905,0.3905,53
21115,73,-10,47,401,1692,3.905,0.3905,118.6
21121,74,-10,45,403,851,3.905,0.781,14.3
21122,74,-10,45,395,964,3.905,0.781,21.8
21123,74,-10,45,394,1013,3.905,0.781,27.3
21124,74,-9,46,397,1151,3.905,0.781,40.6
21125,74,-10,45,398,1372,3.905,0.781,89.4
21131,74,-10,46,407,789,3.905,1.1715,11.5
21132,74,-10,46,400,860,3.905,1.1715,18.3
21133,73,-10,46,403,894,3.905,1.1715,22.9
21134,73,-10,47,406,999,3.905,1.1715,34.1
21135,74,-10,47,410,1128,3.905,1.1715,75.1
21141,74,-10,46,403,795,3.905,1.562,9.2
21142,74,-10,45,398,871,3.905,1.562,15
21143,74,-10,45,397,903,3.905,1.562,19.2
21144,74,-10,45,399,1003,3.905,1.562,29
21145,74,-10,46,403,1107,3.905,1.562,65.5
21151,75,-10,47,331,673,3.905,2.343,7.5
21152,75,-10,47,328,712,3.905,2.343,11.9
21153,75,-10,47,326,734,3.905,2.343,15.2
21154,76,-10,47,331,809,3.905,2.343,23
21155,76,-10,48,335,925,3.905,2.343,51.8
21161,74,-11,46,279,643,3.905,3.905,6
21162,74,-11,45,275,671,3.905,3.905,9.6
21163,74,-11,45,272,684,3.905,3.905,12.4
21164,74,-11,46,277,716,3.905,3.905,18.9
21165,74,-11,45,278,742,3.905,3.905,42.5
